 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00500 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 35.000000
Coef. de Esparcimiento: 450.000000
Coef. de Anisotropia: 0.800000
Indice de Refracción: 1.330000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
1.10695 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.11194 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.11694 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.12194 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.12694 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.13193 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.13693 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.14193 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.14693 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.15192 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.15692 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.16192 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.16692 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.17191 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.17691 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.18191 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.18691 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.19190 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.19690 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.20190 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.20690 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.21189 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.21689 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.22189 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.22689 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.23188 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.23688 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.24188 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.24688 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.25187 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.25687 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.26187 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.26687 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.27186 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.27686 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.28186 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.28686 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.29185 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.29685 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.30185 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.30685 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.31184 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.31684 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.32184 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.32684 	 0.000e+00 	 0.000e+00 	 0.000e+00 
